year,in_area_short,in_cnt
2024,47190,194
2024,47210,24
2024,47250,24
2024,47280,15
2024,47290,1163
2024,47730,23
2024,47750,28
2024,47760,8
2024,47770,14
2024,47820,22
2024,47830,17
2024,47840,18
2024,47850,65
2024,47900,11
2024,47920,10
2024,47930,11
2024,47940,18
2024,48121,12
2024,48123,17
2024,48125,8
2024,48127,13
2024,48129,11
2024,48170,14
2024,48220,2
2024,48240,10
2024,48250,38
2024,48270,16
2024,48310,23
2024,48330,55
2024,48720,5
2024,48730,3
2024,48740,13
2024,48820,3
2024,48840,5
2024,48850,4
2024,48860,1
2024,48870,1
2024,48880,6
2024,48890,3
2024,50110,18
2024,50130,14
2024,51110,12
2024,51130,27
2024,51150,9
2024,51170,10
2024,51190,3
2024,51210,3
2024,51230,6
2024,51720,3
2024,51730,3
2024,51750,2
2024,51760,3
2024,51770,3
2024,51780,5
2024,51790,8
2024,51800,5
2024,51810,8
2024,51820,2
2024,51830,2
2024,52111,10
2024,52113,8
2024,52130,7
2024,52140,5
2024,52180,5
2024,52190,8
2024,52210,2
2024,52710,3
2024,52730,2
2024,52750,1
2024,52800,2
